Annotated,Comments,Nem,Image,Y,X,Mag,Family,Genus,Species,View,overall body length,distance of vulva from anterior ,% distance of vulva from anterior,stylet or spear length (stomatostyle or odontostyle),% distance from anterior to median bulb relative to length of esophagus,% distance of anterior phasmid from anterior of nematode in relation to body length,% distance of dorsal esophageal gland opening from stylet knobs in relation to stylet length,% distance of phasmid from anus in relation to length of tail,% distance of posterior phasmid from anterior of nematode in relation to body length,% length of anterior female gonad in relation to body length,% length of male gonad relative to body length,% length of posterior female gonad in relation to body length,(distance of dorsal esophageal gland opening from stylet knobs x 100)/(length of stylet),(distance of phasmid(when not erratic) from anus x 100)/( length of tail),body length / distance from anterior to base of esophageal glands,body length / distance from anterior to esophago-intestinal valve,body length / greatest body diameter,body length / tail length,capitulum length in µm,conus of stomatostyle/total stomatosyle length,distance from anterior end to excretory pore in µm,distance from base of stylet to median bulb valve/stylet length.,distance from vulva to anus,gubernaculurn length in µm,number of body annules between anterior and excretory pore,number of body annules between anus and tail tip,number of body annules between vulva and anus,number of body annules between vulva and tail tip,number of specimens on which measurements are based,portion of body from anus or cloaca to posterior terminus,SE/L (measured in same units) expressed as %).,spicule length in µm,stylet extension (odontophore) length in µm,stylet length / body diameter at base of stylet,stylet length/body length (measured in same units as %).,tail length / tail diameter at anus or cloaca,total number of body annules,Flickr URL,Dir
,,Nem_0001,,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods
,,Nem_0002,,11.6,135.9,,Plectidae,,,,652.27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods
,,Nem_0003,,14.1,141.0,,Plectidae,,,,553.03,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods
,,Nem_0004,,5.5,135.0,,Rhabditidae,,,,496.34,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods
,,Nem_0005,,9.1,131.3,,Plectidae,,,,668.57,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods
,,Nem_0006,,9.1,129.9,,Tylenchidae,,,,597.32,397.73,0.665857496819125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods
,,Nem_0007,,13.5,140.6,,Plectidae,,,,569.7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods
,,Nem_0001,,11.5,138.5,,Dorylaimidae,,,,2387.99,1153.48,0.483033848550455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods
,,Nem_0002,,11.0,135.5,,Dorylaimidae,,,,1658.09,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods
,,Nem_0003,,13.0,134.1,,Dorylaimidae,,,,2228.92,1108.12,0.497155573102669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods
,,Nem_0004,,13.9,137.0,,Trichodoridae ,,,,890.61,501.13,0.562681757447143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods
,,Nem_0005,,14.0,135.5,,Criconematidae,,,,607.78,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods
,,Nem_0006,,16.5,139.1,,Plectidae,,,,943.83,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods
,,Nem_0007,,17.9,134.9,,Dorylaimidae,,,,1476.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods
,,Nem_0001,,9.1,134.0,,Plectidae,,,,832.86,449.27,0.539430396465192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0003/Metadata.ods
,damaged,Nem_0002,,13.0,138.5,,Trichodoridae ,,,,817.81,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0003/Metadata.ods
,Chck F,Nem_0003,,13.5,135.5,,Trichodoridae ,,,,717.49,425.14,0.592537875092336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0003/Metadata.ods
,,Nem_0004,,14.1,136.9,,Criconematidae,,,,591.88,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0003/Metadata.ods
,good,Nem_0005,,15.5,137.1,,Trichodoridae ,,,,753.69,450.05,0.597128793005082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0003/Metadata.ods
